TL,TM,TR,ML,MM,MR,BL,BM,BL,TOPL,TOPR,MID,BUTL,BUTR,RTL,RTM,RTR,RML,RMM,RMR,RBL,RBM,RBL
b,b,b,b,b,b,x,b,b,0,0,0,1,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,b,x,x,b,0,0,1,1,0,0,0,0,0,0,0,0,0,1
b,b,b,x,o,b,x,x,o,0,0,1,1,1,1,0,0,0,0,0,0,0,0
b,b,b,b,b,b,b,b,x,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b,b,b,b,o,b,x,b,x,0,0,1,1,1,0,0,0,0,0,0,0,1,0
x,b,b,b,o,b,x,o,x,1,0,1,1,1,0,1,0,0,0,0,0,0,0
b,b,b,x,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
x,b,b,x,o,b,b,b,b,1,0,1,0,0,0,0,0,0,0,0,1,0,0
x,b,b,x,o,b,o,x,b,1,0,1,1,0,0,0,1,0,0,0,0,0,0
b,b,b,b,b,b,x,b,b,0,0,0,1,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,b,x,b,b,0,1,1,1,0,0,1,0,0,0,0,0,0,0
b,o,x,b,o,x,x,b,b,0,1,1,1,0,0,0,0,0,0,0,0,1,0
b,b,b,b,x,b,b,b,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,b,b,x,b,x,b,b,1,0,1,1,0,0,0,1,0,0,0,0,0,0
o,b,o,b,x,x,x,b,b,1,1,1,1,0,0,1,0,0,0,0,0,0,0
b,x,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,x,o,b,b,b,b,0,0,1,0,0,0,0,0,0,0,0,0,0,1
b,x,b,x,o,x,b,b,o,0,0,1,0,1,1,0,0,0,0,0,0,0,0
b,b,b,x,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,x,o,b,b,b,b,0,1,1,0,0,0,0,0,0,0,0,0,1,0
b,b,x,x,o,b,b,o,x,0,1,1,0,1,0,1,0,0,0,0,0,0,0
b,x,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
x,x,b,b,o,b,b,b,b,1,0,1,0,0,0,0,1,0,0,0,0,0,0
x,x,o,b,o,b,b,b,x,1,1,1,0,1,0,0,0,0,0,0,1,0,0
x,b,b,b,b,b,b,b,b,1,0,0,0,0,0,0,0,0,1,0,0,0,0
x,b,b,b,o,b,x,b,b,1,0,1,1,0,0,0,0,1,0,0,0,0,0
x,b,b,o,o,b,x,x,b,1,0,1,1,0,0,0,0,0,0,1,0,0,0
b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
x,b,b,b,o,b,b,x,b,1,0,1,0,0,0,0,0,0,0,1,0,0,0
x,b,x,b,o,o,b,x,b,1,1,1,0,0,0,0,0,1,0,0,0,0,0
b,b,b,b,b,b,x,b,b,0,0,0,1,0,0,0,0,0,1,0,0,0,0
x,b,b,b,o,b,x,b,b,1,0,1,1,0,0,0,0,1,0,0,0,0,0
x,b,b,o,o,x,x,b,b,1,0,1,1,0,0,1,0,0,0,0,0,0,0
x,o,x,o,o,x,x,b,b,1,1,1,1,0,0,0,0,0,0,0,0,1,0
b,x,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
x,x,b,b,o,b,b,b,b,1,0,1,0,0,0,0,1,0,0,0,0,0,0
x,x,o,b,o,b,b,b,x,1,1,1,0,1,0,0,0,0,0,0,1,0,0
b,b,b,b,b,b,b,b,x,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b,b,b,b,o,b,x,b,x,0,0,1,1,1,0,0,0,0,0,0,0,1,0
b,b,b,b,o,x,x,o,x,0,0,1,1,1,0,1,0,0,0,0,0,0,0
b,b,b,b,x,b,b,b,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,b,x,x,b,b,b,b,1,0,1,0,0,0,0,0,0,0,1,0,0,0
o,b,b,x,x,o,b,b,x,1,0,1,0,1,0,1,0,0,0,0,0,0,0
o,o,x,x,x,o,b,b,x,1,1,1,0,1,0,0,0,0,0,0,1,0,0
b,b,b,b,b,x,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,x,b,x,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,x,b,o,x,b,x,b,1,1,1,0,0,0,0,0,0,0,0,0,0,1
x,b,b,b,b,b,b,b,b,1,0,0,0,0,0,0,0,0,1,0,0,0,0
x,b,b,b,o,b,x,b,b,1,0,1,1,0,0,0,0,1,0,0,0,0,0
x,x,b,o,o,b,x,b,b,1,0,1,1,0,0,0,0,0,0,1,0,0,0
b,x,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,b,o,b,b,x,b,0,0,1,0,0,0,0,0,1,0,0,0,0,0
x,x,b,o,o,b,b,x,b,1,0,1,0,0,0,0,0,0,0,1,0,0,0
b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
x,b,b,b,o,b,b,x,b,1,0,1,0,0,0,0,0,0,0,1,0,0,0
x,x,b,b,o,o,b,x,b,1,0,1,0,0,0,0,0,1,0,0,0,0,0
b,b,b,x,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,x,o,b,b,x,b,0,0,1,0,0,0,0,1,0,0,0,0,0,0
b,b,o,x,o,b,x,x,b,0,1,1,1,0,1,0,0,0,0,0,0,0,0
o,x,o,x,o,b,x,x,b,1,1,1,1,0,0,0,0,0,0,0,0,0,1
b,b,x,b,b,b,b,b,b,0,1,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,b,b,b,x,0,1,1,0,1,0,0,0,0,0,1,0,0,0
b,x,x,b,o,o,b,b,x,0,1,1,0,1,0,0,0,1,0,0,0,0,0
b,b,x,b,b,b,b,b,b,0,1,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,x,b,b,b,0,1,1,0,0,0,0,0,0,0,0,0,0,1
b,b,x,b,o,x,b,x,o,0,1,1,0,1,1,0,0,0,0,0,0,0,0
b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,x,o,b,b,x,b,0,0,1,0,0,0,0,1,0,0,0,0,0,0
x,b,o,x,o,b,b,x,b,1,1,1,0,0,0,0,0,0,0,0,1,0,0
b,b,x,b,b,b,b,b,b,0,1,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,b,x,b,b,0,1,1,1,0,0,1,0,0,0,0,0,0,0
b,o,x,x,o,b,x,b,b,0,1,1,1,0,0,0,0,0,0,0,0,1,0
b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,b,b,x,x,0,0,1,0,1,0,0,0,0,0,0,1,0,0
x,b,b,b,o,b,o,x,x,1,0,1,1,1,0,0,1,0,0,0,0,0,0
b,b,x,b,b,b,b,b,b,0,1,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,b,x,b,b,0,1,1,1,0,0,1,0,0,0,0,0,0,0
b,o,x,b,o,x,x,b,b,0,1,1,1,0,0,0,0,0,0,0,0,1,0
b,b,b,b,b,b,b,b,x,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b,x,b,b,o,b,b,b,x,0,0,1,0,1,0,0,0,1,0,0,0,0,0
b,x,b,o,o,b,b,x,x,0,0,1,0,1,0,0,0,0,0,1,0,0,0
b,b,b,x,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
x,b,b,x,o,b,b,b,b,1,0,1,0,0,0,0,0,0,0,0,1,0,0
x,x,b,x,o,b,o,b,b,1,0,1,1,0,0,0,1,0,0,0,0,0,0
x,b,b,b,b,b,b,b,b,1,0,0,0,0,0,0,0,0,1,0,0,0,0
x,b,x,b,o,b,b,b,b,1,1,1,0,0,0,1,0,0,0,0,0,0,0
x,o,x,x,o,b,b,b,b,1,1,1,0,0,0,0,0,0,0,0,0,1,0
b,b,x,b,b,b,b,b,b,0,1,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,x,b,b,b,0,1,1,0,0,0,0,0,0,0,0,0,0,1
b,x,x,b,o,x,b,b,o,0,1,1,0,1,1,0,0,0,0,0,0,0,0
b,b,x,b,b,b,b,b,b,0,1,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,b,b,b,x,0,1,1,0,1,0,0,0,0,0,1,0,0,0
b,x,x,b,o,o,b,b,x,0,1,1,0,1,0,0,0,1,0,0,0,0,0
b,b,b,b,b,x,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,b,o,x,b,b,b,0,0,1,0,0,0,0,0,0,0,0,1,0,0
b,x,x,b,o,x,o,b,b,0,1,1,1,0,1,0,0,0,0,0,0,0,0
b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,x,b,x,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,x,b,o,x,b,x,b,1,1,1,0,0,0,0,0,0,0,0,0,0,1
b,b,x,b,b,b,b,b,b,0,1,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,x,o,b,b,b,b,0,1,1,0,0,0,0,0,0,0,0,0,1,0
b,b,x,x,o,b,b,o,x,0,1,1,0,1,0,1,0,0,0,0,0,0,0
b,x,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,b,o,x,b,b,b,0,0,1,0,0,0,0,0,0,0,0,1,0,0
x,x,b,b,o,x,o,b,b,1,0,1,1,0,0,0,1,0,0,0,0,0,0
b,x,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,b,o,b,b,x,b,0,0,1,0,0,0,0,0,1,0,0,0,0,0
b,x,b,o,o,b,x,x,b,0,0,1,1,0,0,0,0,0,0,1,0,0,0
b,b,b,b,b,b,b,b,x,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b,b,b,b,o,x,b,b,x,0,0,1,0,1,0,0,1,0,0,0,0,0,0
x,b,o,b,o,x,b,b,x,1,1,1,0,1,0,0,0,0,0,0,1,0,0
b,b,b,b,b,b,x,b,b,0,0,0,1,0,0,0,0,0,1,0,0,0,0
b,x,b,b,o,b,x,b,b,0,0,1,1,0,0,0,0,0,0,1,0,0,0
x,x,b,b,o,o,x,b,b,1,0,1,1,0,0,0,0,1,0,0,0,0,0
b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,x,b,x,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,b,b,o,x,b,x,x,1,0,1,0,1,0,0,1,0,0,0,0,0,0
o,x,o,b,o,x,b,x,x,1,1,1,0,1,0,0,0,0,0,0,1,0,0
b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,b,b,x,x,0,0,1,0,1,0,0,0,0,0,0,1,0,0
b,b,x,b,o,b,o,x,x,0,1,1,1,1,0,0,0,0,0,1,0,0,0
x,b,x,b,o,o,o,x,x,1,1,1,1,1,0,0,0,1,0,0,0,0,0
b,b,b,b,b,b,x,b,b,0,0,0,1,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,b,x,x,b,0,0,1,1,0,0,0,0,0,0,0,0,0,1
b,b,b,x,o,b,x,x,o,0,0,1,1,1,1,0,0,0,0,0,0,0,0
b,b,b,b,b,b,b,b,x,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b,b,b,b,o,b,b,x,x,0,0,1,0,1,0,0,0,0,0,0,1,0,0
b,b,x,b,o,b,o,x,x,0,1,1,1,1,0,0,0,0,0,1,0,0,0
b,x,x,b,o,o,o,x,x,0,1,1,1,1,0,0,0,1,0,0,0,0,0
x,b,b,b,b,b,b,b,b,1,0,0,0,0,0,0,0,0,1,0,0,0,0
x,b,b,b,o,b,x,b,b,1,0,1,1,0,0,0,0,1,0,0,0,0,0
x,b,b,o,o,x,x,b,b,1,0,1,1,0,0,1,0,0,0,0,0,0,0
x,o,b,o,o,x,x,x,b,1,0,1,1,0,0,0,0,0,0,0,0,0,1
b,b,b,b,b,b,b,b,x,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b,x,b,b,o,b,b,b,x,0,0,1,0,1,0,0,0,1,0,0,0,0,0
b,x,x,o,o,b,b,b,x,0,1,1,0,1,0,0,0,0,0,1,0,0,0
b,b,b,b,x,b,b,b,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,b,b,x,b,b,b,x,1,0,1,0,1,0,0,1,0,0,0,0,0,0
o,b,o,b,x,x,b,b,x,1,1,1,0,1,0,1,0,0,0,0,0,0,0
b,b,b,b,b,b,b,b,x,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b,x,b,b,o,b,b,b,x,0,0,1,0,1,0,0,0,1,0,0,0,0,0
b,x,b,o,o,x,b,b,x,0,0,1,0,1,0,0,1,0,0,0,0,0,0
b,x,o,o,o,x,b,x,x,0,1,1,0,1,0,0,0,0,0,0,1,0,0
b,b,b,b,x,b,b,b,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,b,x,x,b,b,b,b,1,0,1,0,0,0,0,0,0,0,1,0,0,0
o,b,b,x,x,o,b,x,b,1,0,1,0,0,0,1,0,0,0,0,0,0,0
o,o,b,x,x,o,x,x,b,1,0,1,1,0,0,0,1,0,0,0,0,0,0
b,b,b,b,x,b,b,b,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,b,b,x,x,b,b,b,1,0,1,0,0,0,0,0,1,0,0,0,0,0
o,b,x,o,x,x,b,b,b,1,1,1,0,0,0,0,0,0,0,0,1,0,0
b,b,b,x,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,x,o,b,x,b,b,0,0,1,1,0,1,0,0,0,0,0,0,0,0
o,b,b,x,o,b,x,x,b,1,0,1,1,0,0,0,0,0,0,0,0,0,1
b,b,b,b,b,b,x,b,b,0,0,0,1,0,0,0,0,0,1,0,0,0,0
b,b,b,x,o,b,x,b,b,0,0,1,1,0,1,0,0,0,0,0,0,0,0
o,b,b,x,o,b,x,x,b,1,0,1,1,0,0,0,0,0,0,0,0,0,1
b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,x,b,x,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,x,b,o,x,b,x,b,1,1,1,0,0,0,0,0,0,0,0,0,0,1
b,b,b,b,b,b,x,b,b,0,0,0,1,0,0,0,0,0,1,0,0,0,0
b,x,b,b,o,b,x,b,b,0,0,1,1,0,0,0,0,0,0,1,0,0,0
b,x,b,b,o,o,x,x,b,0,0,1,1,0,0,0,0,1,0,0,0,0,0
b,b,b,b,b,b,x,b,b,0,0,0,1,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,b,x,b,b,0,1,1,1,0,0,1,0,0,0,0,0,0,0
b,o,x,b,o,b,x,b,x,0,1,1,1,1,0,0,0,0,0,0,0,1,0
b,x,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,x,o,b,b,b,b,0,0,1,0,0,0,0,0,0,0,0,0,0,1
b,x,b,x,o,b,b,x,o,0,0,1,0,1,1,0,0,0,0,0,0,0,0
b,b,b,b,b,b,x,b,b,0,0,0,1,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,b,x,b,x,0,0,1,1,1,0,0,0,0,0,0,0,1,0
b,b,x,b,o,b,x,o,x,0,1,1,1,1,0,1,0,0,0,0,0,0,0
b,b,b,x,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,x,o,b,b,b,b,0,0,1,0,0,0,0,0,0,0,0,0,0,1
b,x,b,x,o,b,b,x,o,0,0,1,0,1,1,0,0,0,0,0,0,0,0
b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
x,b,b,b,o,b,b,x,b,1,0,1,0,0,0,0,0,0,0,1,0,0,0
x,b,b,b,o,o,b,x,x,1,0,1,0,1,0,0,0,1,0,0,0,0,0
b,b,b,x,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,x,o,x,b,b,b,0,0,1,0,0,0,1,0,0,0,0,0,0,0
b,o,b,x,o,x,b,x,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,o,b,x,o,x,b,x,x,1,0,1,0,1,0,0,1,0,0,0,0,0,0
b,b,b,b,x,b,b,b,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,b,b,x,b,b,b,x,1,0,1,0,1,0,0,1,0,0,0,0,0,0
o,b,o,b,x,b,x,b,x,1,1,1,1,1,0,1,0,0,0,0,0,0,0
b,b,b,b,b,x,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,b,o,x,b,b,b,0,0,1,0,0,0,0,0,0,0,0,1,0,0
b,x,x,b,o,x,o,b,b,0,1,1,1,0,1,0,0,0,0,0,0,0,0
o,x,x,b,o,x,o,x,b,1,1,1,1,0,0,0,0,0,0,0,0,0,1
b,x,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,b,o,b,x,b,b,0,0,1,1,0,0,0,0,0,0,1,0,0,0
b,x,x,b,o,o,x,b,b,0,1,1,1,0,0,0,0,1,0,0,0,0,0
b,b,b,b,b,x,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,x,x,b,b,0,0,1,1,0,0,1,0,0,0,0,0,0,0
b,o,b,b,o,x,x,x,b,0,0,1,1,0,0,0,0,0,0,0,0,0,1
b,o,b,x,o,x,x,x,o,0,0,1,1,1,1,0,0,0,0,0,0,0,0
b,x,b,b,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,b,o,b,b,x,b,0,0,1,0,0,0,0,0,1,0,0,0,0,0
b,x,b,o,o,b,x,x,b,0,0,1,1,0,0,0,0,0,0,1,0,0,0
b,b,b,b,b,b,x,b,b,0,0,0,1,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,b,x,b,b,0,1,1,1,0,0,1,0,0,0,0,0,0,0
b,o,x,b,o,x,x,b,b,0,1,1,1,0,0,0,0,0,0,0,0,1,0
b,b,b,b,b,b,b,b,x,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b,b,x,b,o,b,b,b,x,0,1,1,0,1,0,0,0,0,0,1,0,0,0
b,x,x,b,o,o,b,b,x,0,1,1,0,1,0,0,0,1,0,0,0,0,0
b,b,b,b,b,x,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,x,b,b,b,0,1,1,0,0,0,0,0,0,0,0,0,0,1
b,b,x,x,o,x,b,b,o,0,1,1,0,1,1,0,0,0,0,0,0,0,0
b,b,b,b,x,b,b,b,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,b,x,x,b,b,b,b,1,0,1,0,0,0,0,0,0,0,1,0,0,0
o,b,b,x,x,o,b,b,x,1,0,1,0,1,0,1,0,0,0,0,0,0,0
o,o,b,x,x,o,b,x,x,1,0,1,0,1,0,0,1,0,0,0,0,0,0
x,b,b,b,b,b,b,b,b,1,0,0,0,0,0,0,0,0,1,0,0,0,0
x,b,b,b,o,b,x,b,b,1,0,1,1,0,0,0,0,1,0,0,0,0,0
x,b,b,o,o,x,x,b,b,1,0,1,1,0,0,1,0,0,0,0,0,0,0
x,o,b,o,o,x,x,b,x,1,0,1,1,1,0,0,0,0,0,0,0,1,0
b,b,b,b,b,x,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,x,x,b,b,0,0,1,1,0,0,1,0,0,0,0,0,0,0
b,o,x,b,o,x,x,b,b,0,1,1,1,0,0,0,0,0,0,0,0,1,0
b,b,x,b,b,b,b,b,b,0,1,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,b,b,b,x,0,1,1,0,1,0,0,0,0,0,1,0,0,0
b,b,x,x,o,o,b,b,x,0,1,1,0,1,0,1,0,0,0,0,0,0,0
b,o,x,x,o,o,x,b,x,0,1,1,1,1,0,0,0,0,0,0,0,1,0
b,b,b,b,b,b,b,b,x,0,0,0,0,1,0,0,0,0,1,0,0,0,0
x,b,b,b,o,b,b,b,x,1,0,1,0,1,0,1,0,0,0,0,0,0,0
x,o,b,b,o,b,b,x,x,1,0,1,0,1,0,0,0,0,0,0,1,0,0
x,o,b,b,o,x,o,x,x,1,0,1,1,1,0,0,1,0,0,0,0,0,0
b,b,b,b,b,b,b,b,x,0,0,0,0,1,0,0,0,0,1,0,0,0,0
x,b,b,b,o,b,b,b,x,1,0,1,0,1,0,1,0,0,0,0,0,0,0
x,o,b,b,o,x,b,b,x,1,0,1,0,1,0,0,0,0,0,0,0,1,0
b,b,b,b,b,b,x,b,b,0,0,0,1,0,0,0,0,0,1,0,0,0,0
b,b,b,b,o,x,x,b,b,0,0,1,1,0,0,1,0,0,0,0,0,0,0
b,o,b,b,o,x,x,b,x,0,0,1,1,1,0,0,0,0,0,0,0,1,0
b,b,b,x,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,x,o,b,b,b,b,0,1,1,0,0,0,0,0,0,0,0,0,1,0
b,b,x,x,o,b,b,o,x,0,1,1,0,1,0,1,0,0,0,0,0,0,0
b,b,b,x,b,b,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,x,o,b,b,b,b,0,0,1,0,0,0,0,0,0,0,0,0,0,1
x,x,b,x,o,b,b,b,o,1,0,1,0,1,0,0,1,0,0,0,0,0,0
b,b,b,b,b,b,b,x,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,x,b,b,o,b,b,x,b,0,0,1,0,0,0,0,0,1,0,0,0,0,0
x,x,b,o,o,b,b,x,b,1,0,1,0,0,0,0,0,0,0,1,0,0,0
b,b,b,b,b,x,b,b,b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,x,b,b,b,0,1,1,0,0,0,0,0,0,0,0,0,0,1
b,b,x,b,o,x,b,x,o,0,1,1,0,1,1,0,0,0,0,0,0,0,0
b,b,b,b,x,b,b,b,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,b,b,x,b,x,b,b,1,0,1,1,0,0,0,1,0,0,0,0,0,0
o,x,o,b,x,b,x,b,b,1,1,1,1,0,0,0,0,0,0,0,0,1,0
o,x,o,b,x,b,x,o,x,1,1,1,1,1,0,0,0,1,0,0,0,0,0
b,b,x,b,b,b,b,b,b,0,1,0,0,0,0,0,0,0,1,0,0,0,0
b,b,x,b,o,x,b,b,b,0,1,1,0,0,0,0,0,0,0,0,0,0,1
b,b,x,b,o,x,x,b,o,0,1,1,1,1,1,0,0,0,0,0,0,0,0
b,b,b,b,b,b,b,b,x,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b,b,b,x,o,b,b,b,x,0,0,1,0,1,0,1,0,0,0,0,0,0,0
b,o,x,x,o,b,b,b,x,0,1,1,0,1,0,0,0,0,0,0,0,1,0
b,b,b,b,x,b,b,b,b,0,0,1,0,0,1,0,0,0,0,0,0,0,0
o,b,x,b,x,b,b,b,b,1,1,1,0,0,0,0,0,0,0,0,1,0,0
o,b,x,b,x,x,o,b,b,1,1,1,1,0,0,0,0,1,0,0,0,0,0
